p_lat,p_lon,x_lat,x_lon
40.7864538,-73.9841321,40.7861866,-73.9844036
40.7861866,-73.9844036,40.7858444,-73.9847332
40.7861866,-73.9844036,40.7854636,-73.9849145
40.7854081,-73.983689,40.7858444,-73.9847332
40.7851441,-73.9826846,40.7849363,-73.9828746
40.7851441,-73.9826846,40.7850311,-73.9827871
40.7850311,-73.9827871,40.7854081,-73.983689
40.7850311,-73.9827871,40.7849758,-73.9826602
40.7849363,-73.9828746,40.7847178,-73.9835736
40.7849363,-73.9828746,40.784832,-73.98303
40.7849363,-73.9828746,40.7850311,-73.9827871
40.784832,-73.98303,40.7847178,-73.9835736
40.784357,-73.9833075,40.7849758,-73.9826602
40.7854636,-73.9849145,40.7858444,-73.9847332
40.7854636,-73.9849145,40.785296,-73.9851274
40.7858335,-73.9849442,40.7864538,-73.9841321
40.7858335,-73.9849442,40.785296,-73.9851274
40.7858335,-73.9849442,40.7864538,-73.9841321
40.7858335,-73.9849442,40.7858335,-73.9849442
40.7815421,-73.9880295,40.7801165,-73.9888744
40.7817608,-73.9873886,40.7805811,-73.9857366
40.7817608,-73.9873886,40.785296,-73.9851274
40.7817608,-73.9873886,40.7815421,-73.9880295
40.783849,-73.9862541,40.7815421,-73.9880295
40.783849,-73.9862541,40.7815421,-73.9880295
40.783849,-73.9862541,40.7817608,-73.9873886
40.783849,-73.9862541,40.785296,-73.9851274
40.783849,-73.9862541,40.7817608,-73.9873886
40.783849,-73.9862541,40.785296,-73.9851274
40.7837822,-73.9839163,40.784357,-73.9833075
40.7837822,-73.9839163,40.7803049,-73.9856663
40.7817194,-73.9809824,40.7882867,-73.9764349
40.7817194,-73.9809824,40.7799947,-73.9769106
40.7818019,-73.9811764,40.7787921,-73.9820581
40.7818019,-73.9811764,40.7799947,-73.9769106
40.782439,-73.98073,40.7882867,-73.9764349
40.782439,-73.98073,40.7837822,-73.9839163
40.782135328799995,-73.9808365128,40.7817194,-73.9809824
40.782135328799995,-73.9808365128,40.782439,-73.98073
40.781903653200004,-73.9792300726,40.7824641,-73.9788209
40.781903653200004,-73.9792300726,40.7818365,-73.9792791
40.781765442899996,-73.9793309622,40.7811846,-73.9797549
40.781765442899996,-73.9793309622,40.7818365,-73.9792791
40.7818365,-73.9792791,40.7837822,-73.9839163
40.7818365,-73.9792791,40.7831525,-73.9783287
40.7816376705,-73.979424219,40.7811846,-73.9797549
40.7816376705,-73.979424219,40.7818365,-73.9792791
40.78126802880001,-73.97994639000001,40.7811846,-73.9797549
40.78126802880001,-73.97994639000001,40.7817194,-73.9809824
40.7821666176,-73.9790380868,40.7824641,-73.9788209
40.7821666176,-73.9790380868,40.7818365,-73.9792791
40.782391926,-73.978873593,40.7824641,-73.9788209
40.782391926,-73.978873593,40.7818365,-73.9792791
40.7824641,-73.9788209,40.7831525,-73.9783287
